avg_value_idx,trial_idx,ss,choice,fixations
0.6,5,"[-0.7800623138863257, -1.1453984565474644, 0.0642344399043473, -0.05094521144462283, 1.9561208299663462, 1.029298752163395]","[4, 5, 6]","[4, 5, 6, 2, 1, 3, 3, 5, 1, 4, 6, 6, 4, 4, 6, 6, 4, 5, 5, 6, 4, 5, 1, 1, 1, 1, 2, 6, 6, 1, 3, 3, 3, 3, 3, 3, 1]"
0.8,5,"[2.665792867390738, 1.4670452734388744, 1.3147706638027317, 2.280360325594143, 1.0590570308673413, 1.3259298872419167]","[4, 1, 2]","[2, 5, 6, 1, 4, 3, 3, 5, 2, 1, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 2, 4, 1, 1, 2]"
1.0,5,"[1.720541611357222, 0.39982237920079855, 1.3160011210604794, 2.166421819386812, 1.1048399141971912, -0.26912067308348697]","[4, 1, 3]","[6, 3, 4, 1, 5, 2, 2, 3, 3, 5, 2, 2, 4, 4, 3, 3, 2, 2, 1, 3, 3, 1, 1, 1, 4, 4, 2, 2, 2, 3, 3, 3, 4, 4]"
1.2,5,"[0.3866752309521502, 1.902313324244148, 1.1723580522485206, 0.6688060810365446, 1.6992250209473148, 1.171202677249498]","[6, 4, 2]","[2, 6, 5, 4, 1, 1, 4, 2, 6, 2, 4, 1, 2, 1, 4, 4, 2, 1, 1, 2, 4, 6, 6, 6]"
1.4,5,"[3.0240829641458227, 1.7457034308111754, 1.2230368706258594, 2.2249798504036105, 2.1277736287904503, -0.043795851720115575]","[5, 1, 4]","[6, 1, 4, 2, 3, 5, 2, 4, 1, 5, 1, 2, 4, 5, 2, 2]"
1.6,5,"[1.7468714151954856, 2.744326686766501, 1.6902631664998629, 2.2710535435336623, 1.8232795292309059, 3.2598286202925215]","[1, 4, 6]","[6, 3, 5, 2, 1, 6, 5, 1, 3, 5, 1, 6, 6, 3, 3, 5, 5, 3, 3, 5, 5, 5, 3, 3, 3, 5, 5, 6, 1, 3, 6, 3, 3, 5, 6, 5, 5, 5, 3, 3, 3, 3, 3, 5, 5, 4, 4, 4, 6, 4, 1, 1, 1]"
1.8,5,"[2.6998463929563776, 0.8171526019600335, 1.971232653435952, -0.5001006992856392, 2.1597056707267095, 1.8524595043331524]","[1, 3, 6]","[6, 2, 1, 4, 5, 5, 6, 2, 6, 1, 2, 3, 3, 3, 1, 2, 6, 6, 2, 2, 1, 1, 1, 3, 3, 3, 3, 6, 6, 6, 6, 3, 2, 1, 1, 1, 1, 2, 2, 2, 2, 6, 6, 6, 6, 1]"
2.0,5,"[1.9114276013861777, -0.6098390844265107, 2.3727941426862196, 1.7385055680408235, 2.394532225419608, 2.169400211391358]","[3, 5, 6]","[3, 1, 5, 6, 6, 5, 3, 1, 1, 5, 6, 6, 1, 2, 4, 4, 4, 4, 4, 6, 6, 4, 4, 5, 6, 6, 4, 4, 3, 6, 5]"
0.0,6,"[1.8944942415667907, -2.131689625809966, -0.4836800478784238, -0.01103534451398588, 0.17769531894537313, -0.1986130022363225]","[5, 4, 1]","[3, 1, 5, 2, 4, 6, 6, 2, 1, 3, 3, 4, 4, 1, 6, 6, 4, 1, 4, 6, 6, 6, 4, 1, 4]"
0.2,6,"[-1.550628313019917, -0.2888704695324379, -0.49048669916658555, -1.0925913547722859, -1.2871147109016783, 0.2570354092377027]","[6, 2, 3]","[4, 3, 2, 5, 1, 5, 3, 6, 4, 1, 5]"
0.4,6,"[0.5510145935793413, 0.9559787145195515, 1.7149783113269348, 2.1727927321852927, -1.1363610934886115, 1.6282325467539156]","[4, 3, 6]","[1, 3, 6, 5, 2, 4, 3, 4, 6, 2, 2, 6, 1, 1, 1, 2, 2, 6, 6, 1, 1, 6, 6, 6, 1, 1]"
0.6,6,"[-1.2079904611043686, -0.350224666266595, -0.5533046829486313, -0.32559176573782767, 0.5340371106144607, 0.7979195672137573]","[2, 6, 5]","[5, 1, 2, 6, 3, 3, 6, 4, 6, 1, 5, 3, 1, 3, 2, 4, 4, 4, 6, 6, 4, 4, 3, 3, 5, 5, 5, 5, 6, 6, 5, 5, 6, 4, 4, 4, 4, 5, 5, 5, 5, 5]"
0.8,6,"[1.0313007881627922, 1.7074121257369814, 0.5689643028106159, -0.059186539532495974, 1.1137843470153101, 1.183736645469796]","[1, 2, 6]","[6, 2, 1, 4, 5, 5, 3, 3, 6, 1, 2, 2, 5, 5, 2, 6, 6, 6, 5]"
1.0,6,"[0.4630022836355824, 1.0692659180347406, 0.7289358466709268, 2.336000786758601, 3.051421464784574, 2.6759482058054305]","[6, 2, 5]","[2, 5, 1, 6, 3, 4, 4, 5, 2, 4, 5, 6, 2, 2]"
1.2,6,"[-0.16282358293144128, -0.012195720121086051, 1.8317806249299193, -0.047968768346133395, 0.6627803673170823, 2.948134144726847]","[3, 6, 2]","[2, 4, 1, 6, 3, 5, 5, 6, 6, 5, 5, 6, 2, 2, 2, 1, 1, 4, 4, 4, 4, 5, 5, 2, 2, 6, 6, 6]"
1.4,6,"[1.399632169470776, 2.118853161422789, 1.4982531280861262, 1.9205007058836936, 1.5954949938046072, 0.9250955007740789]","[4, 3, 5]","[5, 6, 1, 3, 4, 4, 5, 6, 5, 4, 4, 6, 6, 5, 3, 2, 6, 2, 2, 4, 5, 5, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 5, 5, 4, 3, 5, 5]"
1.6,6,"[0.5397917603797961, 2.68386308491813, 1.4595431583058602, 1.8447536225831018, 1.4932029572819108, 2.223453210803514]","[3, 2, 6]","[2, 3, 6, 1, 5, 4, 1, 5, 6, 3, 3, 2, 6, 1, 1, 6, 3, 3, 2]"
1.8,6,"[1.7679213101179991, 2.0265373194102576, 1.9459072189403661, 2.0318077158911207, 1.5972149247461913, 2.0555708770568977]","[5, 6, 1]","[5, 1, 4, 3, 2, 2, 1, 4, 4, 2, 1, 6, 1, 6, 4, 5, 4, 1, 1, 1, 4, 4, 4, 4, 1, 1, 1, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 1, 1, 1, 6, 6, 6, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 3]"
2.0,6,"[1.425890427808266, 3.6340793675855405, 3.4645165555585784, 3.037201395757223, 2.2993321979500143, 1.1079789497624248]","[5, 3, 6]","[6, 3, 1, 5, 1, 6, 6, 5, 3, 3, 5]"
0.0,7,"[-0.4423401360763353, -0.4879075248739244, 1.1765645985290518, -0.15859632732492157, -1.0962081880193129, -0.16348061555694843]","[3, 5, 1]","[1, 4, 5, 3, 6, 2, 2, 3, 1, 4, 6, 1, 2, 2, 1, 1, 2, 2, 1, 4, 4, 6, 2, 1, 4, 4, 6, 6, 2, 2, 1, 1, 1, 1, 3, 2, 2, 2]"
0.2,7,"[-0.2010899661779446, 0.5476904346723102, 0.798230479692378, -0.649243111567837, -0.6062018971882344, -0.12581514634810725]","[3, 2, 4]","[6, 2, 4, 3, 5, 1, 1, 4, 2, 1, 4, 4, 1, 1, 4, 2, 1, 3, 4, 4, 1, 1, 4, 4, 4, 1, 6, 6, 1, 1, 1, 4, 4, 4, 2]"
0.4,7,"[2.050128700317237, 1.1489945140790563, -0.48729266955394024, 0.9305073635153309, -0.4850998235238597, -1.2150234598036205]","[2, 4, 1]","[3, 1, 4, 5, 2, 2, 1, 4, 3, 3, 1, 1, 4, 4, 4, 6, 6, 3, 3, 1, 5, 6, 3, 3, 1, 1, 1, 1, 3, 3, 3, 3, 1, 4, 2, 1, 1]"
0.6,7,"[-0.29843877859631374, 0.6338128035561321, 0.23367031567105478, 2.2458763087184783, -0.38450702554578686, 1.9242500004121705]","[4, 1, 6]","[6, 3, 4, 5, 6, 2, 2, 4, 4, 1, 1, 1, 5, 3, 3, 6, 6, 3, 2, 2, 4, 4, 1]"
0.8,7,"[0.3514968522585838, 1.3402860489696085, 0.3728239292917747, 0.652580455048614, 1.2663972718672154, 0.22620400540877617]","[3, 5, 2]","[4, 6, 2, 5, 1, 3, 3, 2, 5, 5, 6, 6, 2, 6, 3, 5, 5, 6, 2, 2, 2, 5, 5, 6, 6, 2, 2, 6, 6, 6, 2, 5, 3]"
1.0,7,"[1.2463601396601462, -0.45318890318939187, 0.4755847869380837, 0.8250840237448338, 2.0253236610998924, 1.032283984232412]","[4, 5, 1]","[1, 5, 4, 6, 3, 3, 1, 4, 3, 1, 5, 5, 1, 4, 5, 4, 3, 3, 4, 5, 5, 3, 3, 2, 2, 5, 5, 6, 1, 1, 1, 1, 1, 3, 3, 2, 6, 1]"
1.2,7,"[2.3309356197950897, 0.8830104736963331, 1.2387086604317679, 1.788720462542628, 0.7021155990044039, -0.3862525709654634]","[5, 1, 3]","[5, 1, 6, 4, 4, 2, 2, 3, 1, 6, 5, 3, 3, 4, 2, 2, 5, 5, 3, 1, 1, 3, 5]"
1.4,7,"[2.3438909212486356, 1.5579763031424507, 0.5581239468755423, -0.5050518704518656, 1.696427801612375, 2.901490782605973]","[6, 2, 1]","[6, 3, 2, 4, 5, 5, 1, 1, 3, 4, 6, 1, 5, 5, 6, 1, 1, 5, 2, 5, 6, 6, 2, 2, 2, 1, 1, 5, 5, 1, 1, 1, 5, 5, 5, 1, 6, 5, 2, 2, 6, 2, 2, 2, 2, 1, 1, 2, 2, 6, 5, 5, 5, 5]"
1.6,7,"[1.849225711621693, 1.5071295202728119, 1.6047697207401859, 1.628070372364491, 1.781399942141662, -0.3047553922167121]","[1, 5, 4]","[4, 2, 6, 3, 5, 1, 3, 4, 1, 4, 3, 5, 5, 1, 4, 5, 3, 3, 4, 4, 5, 3, 3]"
1.8,7,"[2.6278735481714453, 3.065134448675715, 2.4931442291815697, 1.635583270750013, 1.6549386390536909, 1.8064839671167396]","[2, 4, 3]","[5, 4, 3, 2, 1, 1, 4, 2, 3, 3, 1, 1, 3, 3, 4, 4, 2]"
2.0,7,"[3.1350904271387803, 1.229746886722325, 0.43557906774369837, 2.7869639693667754, 2.133016239847346, 0.45400216609876454]","[4, 5, 1]","[4, 3, 2, 5, 6, 1, 2, 5, 3, 6, 5, 4, 1, 3, 3, 1, 5, 4, 1, 1, 3, 3, 5, 1, 1, 3, 3, 3, 1, 1, 1, 4]"
0.0,8,"[1.692100781887775, 1.384950671553686, 0.35970354256979403, 0.8400739110303991, 0.6034046031751699, 0.753492456429128]","[1, 4, 6]","[1, 6, 5, 2, 5, 1, 2, 4, 4, 6, 5, 1, 4, 4, 5, 5, 3, 3, 3, 1, 6, 6, 6, 4, 4, 6, 2, 2, 3, 3, 3, 3, 6, 2, 5, 5, 5, 5, 3, 3, 3, 3, 5, 5, 5, 5, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
