avg_value_idx,trial_idx,ss,choice,fixations
1.0,7,"[1.1011711990342987, -0.4540638795327865, 0.16101108003053588, 1.3720449824757082, 2.07609983545132, 0.25504824558970796]","[4, 1, 5]","[3, 6, 4, 2, 2, 5, 5, 1, 1, 1, 1, 4, 4, 4]"
1.2,7,"[2.346144540968348, 0.14054261208269891, 0.45682423689760165, 0.3677137094089814, 0.31746156451788476, 1.1641091684512952]","[6, 2, 1]","[2, 2, 3, 1, 6, 6, 6, 5, 5, 4, 4, 4]"
1.4,7,"[2.7237392243137277, 1.2527970920140363, -0.4924184666862239, 2.1737348873319156, 1.9315791299492693, 0.4534300064947675]","[1, 5, 4]","[6, 1, 2, 2, 2, 2, 5, 3, 3, 3, 3, 3, 4, 6, 6, 6, 6, 1, 1, 4, 4, 4, 4, 4, 4, 5, 5, 5, 1, 1, 1]"
1.6,7,"[2.1970293582685985, 3.5284377215076947, 0.4565194551836973, 0.6101821049477264, 3.1709196617926336, -0.42919430147908955]","[2, 5, 1]","[5, 1, 4, 6, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 4, 4, 4, 4, 4, 4, 5, 2, 2]"
1.8,7,"[2.2853070179114194, 1.523408855990926, 1.7342297635216983, 2.4701712361113835, 2.0047786626337007, 3.9851248223450986]","[4, 6, 3]","[1, 6, 3, 4, 4, 4, 4]"
2.0,7,"[0.6091095322023432, 3.693137591581513, 1.0646469408975632, 2.182347317001505, 2.6564137214775387, 2.7291628220930373]","[5, 6, 2]","[1, 3, 2, 5, 5, 6, 6, 3, 3, 3, 3, 3]"
0.0,8,"[-1.3392157611640692, 0.3655665622998655, -0.5219482487167614, -0.5545030139880798, 0.10803945557056249, 1.1387077438958844]","[6, 3, 5]","[1, 4, 4, 6, 5, 5, 5, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
0.2,8,"[0.02247650180425914, 1.1601144038545441, -0.4124672119366593, -0.6282852805381463, -0.6620774331907091, 0.5386770663373615]","[1, 2, 6]","[3, 3, 3, 6, 5, 1, 2, 2, 4, 4, 4, 4, 4, 1, 1, 1, 1]"
0.4,8,"[0.36958598485980143, 2.4217880964779415, 1.1747474060956338, 0.27759663996324996, -0.055552025684468154, -1.0075438120453417]","[4, 3, 2]","[5, 5, 1, 4, 3, 3, 3, 3, 2, 2, 6, 6, 6, 6, 6, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3]"
0.6,8,"[0.9697855012735511, -0.20510291572357187, 0.797461202384181, 0.9917616133267201, -0.14550756708405355, 1.5150066624084144]","[1, 6, 5]","[5, 5, 5, 2, 4, 4, 6, 6, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
0.8,8,"[1.5031139526641426, 1.4815798366803983, 2.711845187044, 2.2606099898533616, -0.3210161021153748, 0.41723191032912543]","[4, 2, 6]","[4, 5, 6, 6, 3, 3, 2, 2, 4, 4, 4, 4, 4]"
1.0,8,"[0.6964108513706031, 2.054078767751923, 0.18438664805067584, 3.573829879505514, -0.31815346788148924, 0.1230334088632955]","[4, 3, 6]","[5, 6, 6, 6, 3, 4, 2, 2, 1, 1, 1, 1]"
1.2,8,"[1.6621769768799588, 2.1590524583217423, 0.5386037927418709, 2.246731149278509, 1.9424622467971924, 1.7990786206934741]","[4, 2, 1]","[2, 4, 5, 3, 3, 1, 1, 1, 1, 4, 4, 2, 2, 2, 2, 2]"
1.4,8,"[1.6505854983818748, 2.271957555034091, 0.5873430828431733, 0.9109168497578437, -1.161184340088261, 1.7114156796767805]","[1, 3, 2]","[4, 4, 6, 6, 6, 3, 5, 5, 5, 1, 2, 2, 2, 2, 3, 3, 3, 3, 1, 1, 1]"
1.6,8,"[2.0000810924879735, 1.4619105358708968, -0.06254830589949001, 0.4713294624981157, 0.631529612045894, 1.1413947934587667]","[2, 1, 5]","[1, 5, 6, 6, 6, 2, 4, 4, 4, 4, 4, 3, 3, 3, 5, 5, 5, 2, 2, 2]"
1.8,8,"[2.2461159401268183, 2.639718476150352, 2.2749129597730273, 2.1020172911066193, 1.216788777710737, 2.3900825111722335]","[4, 6, 2]","[6, 5, 1, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2]"
2.0,8,"[-0.03478436134698759, 0.3327364838712188, 1.6443237457013746, 1.1220518854126056, 2.0915503495391, 1.7698546288678814]","[3, 6, 5]","[3, 4, 1, 2, 2, 6, 6, 5, 5, 3, 3, 3, 3, 3]"
0.0,9,"[0.3458956334416926, 2.0001249756711017, 0.9533583842308104, -0.19418269430680035, 0.17765022812273032, -0.6807707270888799]","[2, 5, 1]","[4, 3, 3, 3, 2, 6, 6, 6, 1, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1]"
